Calendar Year,Facility,IFR Itinerant Air Carrier,IFR Itinerant Air Taxi,IFR Itinerant GA,IFR Itinerant Military,IFR Overflight Air Carrier,IFR Overflight Air Taxi,IFR Overflight GA,IFR Overflight Military,VFR Itinerant Air Carrier,VFR Itinerant Air Taxi,VFR Itinerant GA,VFR Itinerant Military,VFR Overflight Air Carrier,VFR Overflight Air Taxi,VFR Overflight GA,VFR Overflight Military,Local Civil,Local Military,
1990,BET,"2,126","3,859","2,781",123,0,0,0,0,"1,242","40,117","31,541",649,0,0,0,0,"4,585",47,
1990,BFI,"5,030","11,980","38,382",803,0,0,0,0,"1,057","6,603","189,279","2,648",0,0,0,0,"146,636",736,
1990,BFL,"2,987","22,497","18,746","1,048",132,"12,164","11,048",733,348,"5,007","50,837","1,098",0,0,0,0,"13,737","2,349",
1990,BGM,"3,847","27,018","16,738",184,262,"13,922","19,967",309,460,"2,095",617,374,0,0,0,0,"7,561",322,
1990,BGR,"12,666","21,480","25,125","12,435",0,"2,812","9,939",892,"1,526","1,136",933,"1,846",0,0,0,0,"27,100","26,419",
1990,BHM,"38,768","21,531","85,628","12,813",0,"5,229","32,676","4,869","2,863",32,0,600,0,0,0,0,"34,277","4,925",
1990,BIL,"10,638","23,762","39,774",412,0,0,"2,496",0,999,"2,025","2,176",351,0,0,0,0,"31,996",772,
1990,BIS,"7,053","4,975","9,231","1,445",0,4,620,9,758,"1,904","23,813","2,220",0,0,0,0,"14,346","5,900",
1990,BJC,0,22,"8,065",0,0,0,0,0,10,967,"69,246",285,0,0,0,0,"63,466",280,
1990,BKL,0,"14,080","16,099",55,0,0,0,0,2,"3,437","21,860",608,0,0,0,0,"26,686",362,
1990,BLI,"3,509","9,507","4,383",21,0,0,0,0,379,"5,022","31,234",511,0,0,0,0,"20,318",330,
1990,BMG,0,"1,179","5,815",6,0,0,0,0,66,484,"16,052",548,0,0,0,0,"20,879",386,
1990,BMI,0,"12,138","10,460",269,0,0,0,0,46,"1,507","30,243",710,0,0,0,0,"31,426",740,
1990,BNA,"106,497","66,125","75,186","5,735",347,"1,834","34,452","3,384","4,733","2,091",30,485,0,0,0,0,"1,382",54,
1990,BOI,"18,020","36,650","61,045","14,850",0,0,"3,755",875,978,"1,730","1,638","2,441",0,0,0,0,"21,613","4,798",
1990,BOS,"236,083","158,897","34,098",357,0,0,0,0,"10,366","5,009","4,591",287,0,0,0,0,0,0,
1990,BPT,0,"16,731","20,758",326,0,0,0,0,0,944,198,211,0,0,0,0,"18,602",333,
1990,BRO,844,63,"10,584","1,494",0,0,0,0,200,186,"15,067",254,0,0,0,0,"15,324","4,096",
1990,BTL,0,0,"6,840","2,868",0,0,0,0,3,69,"11,492","2,578",0,0,0,0,"17,243","5,515",
1990,BTR,"16,096","9,356","54,147","1,510","1,741","9,717","26,484","3,135","1,378",554,"1,433",414,0,0,0,0,"44,624","1,446",
1990,BTV,"14,133","38,401","37,366","9,056",0,"5,210","7,472",751,"1,241",239,"2,869",149,0,0,0,0,"31,546","5,910",
1990,BUF,"63,093","24,177","33,466","2,858","11,457","6,562","26,761","1,250","3,539","1,980",180,34,0,0,0,0,"9,452","1,230",
1990,BUR,"50,209","46,363","118,505","1,418",0,0,0,0,"2,875","3,394","7,438",460,0,0,0,0,"7,909",21,
1990,BVY,0,0,"6,015",0,0,0,0,0,6,70,"44,807",241,0,0,0,0,"77,788",110,
1990,BWI,"150,231","86,659","52,097","1,771","28,113","33,204","42,995","12,255","6,514","2,695","1,263",115,0,0,0,0,766,113,
1990,CAE,"24,867","15,779","42,348","3,770",68,"2,974","38,396","5,378","1,515","1,355","1,309",989,0,0,0,0,"17,910","2,435",
1990,CAK,"9,356","14,046","63,828","4,955",0,"6,039","35,751",479,"1,144","1,856",52,"1,461",0,0,0,0,"41,115","12,917",
1990,CCR,"2,292","1,122","18,531",0,0,0,0,0,302,"3,432","113,126",796,0,0,0,0,"164,902",83,
1990,CDW,0,316,"4,726",0,0,0,0,0,0,"9,462","105,098",169,0,0,0,0,"125,483",28,
1990,CGF,0,"3,448","18,677",0,0,0,0,0,0,"1,311","32,261",68,0,0,0,0,"25,632",6,
1990,CGI,0,"1,338","4,789",4,0,0,0,0,0,410,"19,625",375,0,0,0,0,"8,794",282,
1990,CGX,0,"4,184","16,488",0,0,0,0,0,0,"2,536","25,059",514,0,0,0,0,"10,508","1,840",
1990,CHA,"9,454","15,062","56,761","2,052",12,"1,226","26,051","1,318",873,"1,333",949,814,0,0,0,0,"16,995","1,938",
1990,CHO,"2,783","11,196","8,088",367,0,0,0,0,361,"2,462","20,374","1,209",0,0,0,0,"11,599","1,325",
1990,CHS,"28,060","1,529","36,951","26,959",0,702,"30,467","4,506","1,837",467,600,998,0,0,0,0,"3,544","32,950",
1990,CIC,0,"4,597","2,914",154,0,0,0,0,43,"5,600","38,069",936,0,0,0,0,"22,894","1,860",
1990,CID,"15,005","13,104","31,111",97,0,"3,659","25,678",569,"1,048",829,122,163,0,0,0,0,"17,292",141,
1990,CKB,0,"6,133","17,265",135,359,"8,617","18,831",845,0,68,"12,934",225,0,0,0,0,"39,294",312,
1990,CLE,"151,834","73,208","43,316","2,712","2,747","4,231","23,616",538,"2,002",340,160,371,148,436,"14,696",310,390,50,
1990,CLL,0,"13,250","9,236","1,983",0,0,0,0,26,948,"26,648","1,999",0,0,0,0,"26,543","6,135",
1990,CLT,"235,411","120,246","77,760","4,492","3,299","3,426","55,186","1,939","8,571","2,923",646,769,0,0,0,0,0,0,
1990,CMA,0,336,"8,109",45,0,0,0,0,0,"5,443","83,238",904,0,0,0,0,"114,745",280,
1990,CMH,"55,407","52,190","70,869","2,453","2,648","7,753","58,042","3,283","5,010","4,162",0,0,0,0,0,0,"30,546","1,459",
1990,CMI,"1,891","21,369","43,927",705,0,"5,391","26,964",390,312,150,334,148,0,0,0,0,"99,068",141,
1990,CNO,0,0,"27,452",315,0,0,0,0,0,135,"88,032",535,0,0,0,0,"122,078",735,
1990,COS,"19,896","6,925","39,232","17,302",244,"6,299","16,358","3,535","2,024",896,"2,531","1,331",0,0,0,0,"57,537","26,697",
1990,COU,0,"6,576","13,807",284,0,0,"2,393",5,45,633,"7,282",373,0,0,0,0,"7,872","1,648",
1990,CPR,"1,919","8,935","6,846",94,0,0,212,"2,011",320,"1,813","15,748",379,0,0,0,0,"18,833",798,
1990,CPS,0,"1,129","14,376",7,0,0,0,0,0,282,"47,647",433,0,0,0,0,"95,393",365,
1990,CRE,0,746,"20,924",198,0,0,0,0,0,"1,399","54,654",993,0,0,0,0,"36,909",123,
1990,CRG,0,"3,097","25,278",818,0,0,0,0,0,"4,288","70,112","5,736",0,0,0,0,"89,553","2,784",
1990,CRP,"13,365","12,107","32,799","16,181",141,991,"12,385","5,348",0,35,124,0,0,0,0,0,"19,063","34,112",
1990,CRQ,0,"5,684","40,342",578,0,0,0,0,38,"4,773","114,464","1,547",0,0,0,0,"87,779",164,
1990,CRW,"9,096","15,295","38,065","2,326",584,"4,353","23,612",527,780,207,679,920,0,0,0,0,"15,787","2,708",
1990,CSG,"1,857","13,167","31,172",974,0,"16,904","32,960","6,602",301,592,68,0,0,0,0,0,"18,421","1,460",
1990,CSM,0,0,"1,586","3,752",0,0,79,0,0,0,800,824,0,0,0,0,"7,857","18,589",
1990,CVG,"130,473","129,897","22,292","1,443","8,304","8,788","41,661","2,020","5,728",979,0,326,1,2,106,1,485,4,
1990,CXY,0,256,"34,729","1,305",57,"15,448","46,168","2,917",0,0,46,2,0,0,0,0,"28,029","1,207",
1990,CYS,446,"6,971","7,086","2,683",0,932,708,0,277,"1,720","16,558","2,485",0,0,0,0,"14,005","7,587",
1990,DAB,"13,785","4,868","216,192",416,83,"6,909","72,972","3,654","1,486",819,517,433,0,0,0,0,"98,384",251,
1990,DAL,"76,877","20,228","103,189","1,236",0,0,0,0,"5,146","3,511","3,308",475,0,0,0,0,35,2,
1990,DAY,"102,038","53,785","38,001","1,360","1,320","16,536","40,990","1,785",350,37,443,0,179,537,"23,678",920,"1,712",48,
1990,DBQ,0,"6,488","7,355",13,0,0,0,0,5,926,"21,283",370,0,0,0,0,"27,876",142,
1990,DCA,"187,142","58,239","57,609",309,"134,313","20,563","56,671","22,329","8,631","1,527","3,598",0,0,0,0,0,0,0,
1990,DEC,9,"9,116","9,738","1,236",0,0,0,0,161,"1,309","16,998","3,159",0,0,0,0,"25,138","7,077",
1990,DEN,"299,288","134,673","34,952","1,203",0,0,0,0,"6,372","3,731","3,298",438,0,0,0,0,175,0,
1990,DET,"12,226","13,331","25,296",81,0,0,0,0,"1,505","1,832","37,094",314,0,0,0,0,"38,246",44,
1990,DFW,"540,944","163,626","14,640",534,0,0,0,0,"5,264","4,159","1,666",391,0,0,0,0,0,0,
1990,DHN,38,"13,151","18,378","21,088",0,0,0,0,235,"2,245","21,442","7,002",0,0,0,0,"30,006","6,555",
1990,DLH,"3,391","4,999","13,209","4,394",0,758,"2,138",1,480,0,"6,566",699,0,0,0,0,"18,886","10,915",
1990,DPA,1,"1,320","22,355",3,0,0,0,0,103,622,"79,656",481,0,0,0,0,"112,102",979,
1990,DSM,"25,541","17,741","68,622","4,784",0,"1,296","18,269",269,"1,885","3,834",311,"1,355",0,0,0,0,"18,975","3,090",
1990,DTN,0,376,"5,279",0,0,0,0,0,0,343,"19,212",234,0,0,0,0,"28,844",38,
1990,DTW,"268,363","53,778","48,139",1,0,0,0,0,"8,297","3,678","5,388",204,0,0,0,0,0,0,
1990,DVT,0,0,"1,554",0,0,0,0,0,5,"1,933","102,282",631,0,0,0,0,"171,079",342,
1990,DWH,0,0,"6,145",0,0,0,0,0,0,"1,179","63,507",283,0,0,0,0,"85,511",204,
1990,DXR,0,64,"4,904",0,0,0,0,0,2,"1,389","68,509",359,0,0,0,0,"62,611",201,
1990,ELM,"3,083","13,140","19,872",89,167,"2,257","14,201",216,46,0,378,256,0,0,0,0,"45,679",628,
1990,ELP,"57,162","3,595","68,486","4,127",80,912,"9,784","2,234","2,609",665,322,0,0,0,0,0,"36,602","4,686",
1990,EMT,0,169,"10,023",0,0,0,0,0,0,"4,253","79,698",182,0,0,0,0,"88,152",0,
1990,ENA,374,"12,588",960,28,0,0,0,0,708,"30,921","19,646",498,0,0,0,0,"16,702","1,262",
1990,ERI,"4,613","12,275","32,067",235,"1,135","12,445","31,686",527,683,2,"2,054",442,0,0,0,0,"16,656",432,
1990,ESF,0,"11,491","5,652","1,868",0,0,0,0,2,973,"8,598","4,633",0,0,0,0,"6,715","3,225",
1990,EUG,"6,483","18,660","25,007","1,223",0,"2,040","5,641",571,"1,014","2,519","46,442",990,0,0,0,0,"99,131","1,566",
1990,EVV,"3,943","26,310","35,297","1,293",0,"1,051","24,756",912,425,403,6,664,0,0,0,0,"20,710","4,292",
1990,EWB,0,"2,675","13,841",194,0,0,0,0,32,"16,379","56,432",521,0,0,0,0,"51,821",919,
1990,EWR,"263,978","83,551","19,496",329,0,0,0,0,"12,563","3,283","3,088",325,0,0,0,0,0,0,
1990,EYW,"3,883","20,159","8,068",51,0,0,0,0,350,"5,338","28,842",957,0,0,0,0,"22,318",466,
1990,FAI,"12,089","8,100","7,202","1,237",5,24,30,58,"1,331","13,809","27,818",44,0,0,0,0,"42,931","1,743",
1990,FAR,"5,199","8,825","40,114","3,833",0,524,"5,674",44,632,"1,387",661,"1,635",0,0,0,0,"33,016","7,613",
1990,FAT,"15,105","61,395","100,761","8,980",0,"6,819","69,445","3,527","1,018","3,594","2,826","2,005",0,0,0,0,"8,111","1,923",
1990,FAY,"5,429","10,431","27,234","3,778","1,590","16,649","52,355","12,037",680,874,277,0,0,0,0,0,"11,689",773,
1990,FCM,0,0,"21,843",16,0,0,0,0,0,55,"68,124",109,0,0,0,0,"136,563",700,
1990,FFZ,0,5,"2,005",2,0,0,0,0,0,146,"73,090",431,0,0,0,0,"122,741","5,045",
1990,FLG,0,"5,821","1,882",0,0,0,0,0,58,"2,242","25,368",514,0,0,0,0,"22,774",574,
1990,FLL,"96,170","51,701","60,522",906,0,0,0,0,"3,192","2,274","3,214",572,0,0,0,0,"6,158",0,
1990,FLO,0,"6,743","14,588","1,113",752,"9,229","19,633","7,073",4,667,"11,735",938,0,0,0,0,"14,321","1,700",
1990,FMN,178,"10,587","4,958",3,0,0,0,0,175,"8,002","19,878",410,0,0,0,0,"18,369",308,
1990,FMY,0,"3,803","15,184",61,0,0,0,0,0,"6,985","44,948",337,0,0,0,0,"43,485",195,
1990,FNT,"2,650","15,638","34,570",188,"2,001","3,925","28,495",347,387,"1,887",272,235,0,0,0,0,"60,361","1,034",
1990,FOE,42,"2,500","4,984","4,510",0,0,0,0,198,656,"14,191","3,060",0,0,0,0,"9,080","9,104",
1990,FPR,0,"1,571","9,774",0,0,0,0,0,0,"1,229","46,211",117,0,0,0,0,"138,231",6,
1990,FRG,0,"1,366","16,818",49,0,0,0,0,0,"2,264","110,228",689,0,0,0,0,"86,843",87,
1990,FSD,"10,369","5,274","17,291","3,131",0,132,"2,836",0,"1,346","1,056","22,827","1,277",0,0,0,0,"21,971","3,626",
1990,FSM,10,"13,136","25,101","7,197",0,"3,070","10,675","4,378",118,"1,245",981,732,0,0,0,0,"13,541","9,261",
1990,FTW,1,957,"46,804",5,0,0,0,0,129,595,"180,054",558,0,0,0,0,"182,411",124,
1990,FTY,0,"1,482","40,681","3,312",0,0,0,0,2,822,"30,789","1,200",0,0,0,0,"61,668","1,608",
1990,FUL,0,2,"16,510",0,0,0,0,0,2,313,"67,627",5,0,0,0,0,"59,325",1,
1990,FWA,"24,759","17,291","40,555","3,549","1,702","8,774","44,897",819,"2,168",895,125,"1,287",0,0,0,0,"18,923","2,621",
1990,FXE,0,"2,556","39,799",4,0,0,0,0,0,"3,222","141,166",323,0,0,0,0,"38,634",0,
1990,FYV,0,"19,412","15,246",0,0,0,"1,399",0,39,"2,265","1,498",221,0,0,0,0,"8,921",97,
1990,GCN,2,"4,414",650,2,0,0,0,0,267,"140,955","6,732",175,0,0,0,0,"3,212",116,
1990,GEG,"27,318","45,305","24,716","2,574",0,"2,551","15,418","2,947","1,785",680,41,0,0,0,0,0,"14,205","2,155",
1990,GFK,"3,131","3,192","20,375",92,0,0,0,0,483,965,"93,185",439,0,0,0,0,"185,127",0,
1990,GGG,0,"8,239","34,369",756,3,"2,512","11,605",579,59,853,499,240,0,0,0,0,"51,318","2,403",
1990,GJT,"5,438","6,233","5,026",11,0,0,0,0,632,"2,924","34,959",431,0,0,0,0,"31,159",246,
1990,GLH,0,"3,800","3,276","1,289",0,0,0,0,26,570,"8,528",842,0,0,0,0,"5,164","6,407",
1990,GMU,0,47,"13,874",0,0,0,0,0,0,204,"34,533",115,0,0,0,0,"38,414",10,
1990,GNV,"6,498","11,052","11,466",569,0,0,0,0,464,"2,376","39,129","1,286",0,0,0,0,"32,872","1,862",
1990,GON,0,"6,022","6,197",843,0,0,0,0,0,"8,409","40,364","2,279",0,0,0,0,"68,218","3,333",
1990,GPT,"1,886","4,168","22,328","14,179","2,380","2,265","27,754","10,234",308,508,"2,686",438,0,0,0,0,"11,712","15,307",
1990,GRB,"12,098","19,107","28,111","1,004",0,"1,574","13,869",36,74,0,67,544,0,0,0,0,"27,255","4,228",
1990,GRI,0,"5,405","4,382",191,0,0,0,0,9,"1,426","10,000",635,0,0,0,0,"10,342","1,146",
1990,GRR,"23,389","23,068","62,524",785,0,"8,940","28,103",860,"2,246","2,269","4,115",685,0,0,0,0,"55,337",562,
1990,GSO,"41,921","16,128","65,257",591,197,"19,288","48,229","1,518","2,721",146,0,400,0,0,0,0,"24,607",701,
1990,GSP,"20,395","13,755","24,545","1,105",561,"12,871","48,877","1,360","1,319",713,7,418,0,0,0,0,"6,389","1,352",
